,sample1,sample2,Heterogeneous.Selection,Homogeneous.Selection,Dispersal.Limitation,Homogenizing.Dispersal,Drift.and.Others
227,E5_FDSW202534388-1r,DD3_FDSW220008390-2r,0.180240213,0,0.278584377,0,0.54117541
228,E10_FDSW202534389-1r,DD3_FDSW220008390-2r,0.187271288,0,0.281278987,0,0.531449725
229,E20_FDSW202534390-1r,DD3_FDSW220008390-2r,0.173660849,0,0.301093071,0,0.52524608
230,E50_FDSW202534391-1r,DD3_FDSW220008390-2r,0.224831006,0,0.439448224,0,0.33572077
231,E100_FDSW202534392-1r,DD3_FDSW220008390-2r,0.193188271,0,0.249016268,0,0.557795461
232,E150_FDSW202534393-1r,DD3_FDSW220008390-2r,0.175450321,0,0.242235521,0,0.582314157
233,N5_FDSW202534406-1r,DD3_FDSW220008390-2r,0.173306043,0,0.286997626,0,0.53969633
234,N10_FDSW202534407-1r,DD3_FDSW220008390-2r,0.512903937,0,0,0,0.487096063
235,N20_FDSW202534408-1r,DD3_FDSW220008390-2r,0.184955573,0,0.270778441,0,0.544265986
236,N50_FDSW202534409-1r,DD3_FDSW220008390-2r,0.204226477,0,0.412762343,0,0.383011181
237,N100_FDSW202534410-1r,DD3_FDSW220008390-2r,0.214897986,0,0.444648724,0,0.34045329
238,N150_FDSW202534411-1r,DD3_FDSW220008390-2r,0.207151887,0,0.440696289,0,0.352151824
239,S5_FDSW202534394-1r,DD3_FDSW220008390-2r,0.188874811,0,0.273018887,0,0.538106303
240,S10_FDSW202534395-1r,DD3_FDSW220008390-2r,0.176776234,0,0.267568134,0,0.555655632
241,S20_FDSW202534396-1r,DD3_FDSW220008390-2r,0.185434694,0,0.439458911,0,0.375106395
242,S50_FDSW202534397-1r,DD3_FDSW220008390-2r,0.178449059,0,0.261231612,0,0.560319329
243,S100_FDSW202534398-1r,DD3_FDSW220008390-2r,0.17715448,0,0.288077122,0,0.534768397
244,S150_FDSW202534399-1r,DD3_FDSW220008390-2r,0.18086788,0,0.269673122,0,0.549458997
245,W5_FDSW202534400-1r,DD3_FDSW220008390-2r,0.180409175,0,0.283985902,0,0.535604923
246,W10_FDSW202534401-1r,DD3_FDSW220008390-2r,0.181813441,0,0.275926653,0,0.542259906
247,W20_FDSW202534402-1r,DD3_FDSW220008390-2r,0.179353871,0,0.272344386,0,0.548301742
248,W50_FDSW202534403-1r,DD3_FDSW220008390-2r,0.17931629,0,0.268350964,0,0.552332745
249,W100_FDSW202534404-1r,DD3_FDSW220008390-2r,0.19407665,0,0.273863927,0,0.532059423
250,W150_FDSW202534405-1r,DD3_FDSW220008390-2r,0,0.097089803,0.470883958,0,0.432026239
251,CXD_0801_FDSW210423161-1r,DD3_FDSW220008390-2r,0.083122255,0,0.682554944,0,0.234322801
252,CXD_0802_FDSW210423162-1r,DD3_FDSW220008390-2r,0,0,0.440434746,0,0.559565254
253,CXD_0803_FDSW210423163-1r,DD3_FDSW220008390-2r,0.068758426,0,0.653562135,0,0.277679439
254,CXD_0804_FDSW210423164-1r,DD3_FDSW220008390-2r,0,0.10799278,0.648737719,0,0.243269501
255,CXD_0805_FDSW210423165-1r,DD3_FDSW220008390-2r,0.060665881,0,0.670604564,0,0.268729555
256,CXD_0807_FDSW210423167-1r,DD3_FDSW220008390-2r,0,0.127270089,0.452684621,0,0.420045289
257,CXD_1001_FDSW210423173-1r,DD3_FDSW220008390-2r,0.512761524,0,0.147459386,0,0.33977909
258,CXD_1003_FDSW210423175-1r,DD3_FDSW220008390-2r,0.061152937,0,0.448745271,0,0.490101792
259,CXD_1004_FDSW210423176-1r,DD3_FDSW220008390-2r,0.072872828,0,0.659367001,0,0.26776017
260,CXD_1007_FDSW210423179-1r,DD3_FDSW220008390-2r,0.26900094,0,0.269514112,0,0.461484948
261,CXD_1009_FDSW210423181-1r,DD3_FDSW220008390-2r,0.17525051,0.08847507,0.292367745,0,0.443906674
262,CXD_1015_FDSW210423187-1r,DD3_FDSW220008390-2r,0,0,0.437402916,0,0.562597084
263,CXD_1201_FDSW210423188-1r,DD3_FDSW220008390-2r,0.559758532,0,0.147459386,0,0.292782082
264,CXD_1202_FDSW210423189-1r,DD3_FDSW220008390-2r,0.355598919,0,0.147459386,0,0.496941696
265,CXD_1203_FDSW210423190-1r,DD3_FDSW220008390-2r,0,0,0.421791472,0,0.578208528
266,CXD_1213_FDSW210423200-1r,DD3_FDSW220008390-2r,0.171879624,0,0.268660392,0,0.559459984
267,CXD_1214_FDSW210423201-1r,DD3_FDSW220008390-2r,0,0,0.44893683,0,0.55106317
268,CXD_1215_FDSW210423202-1r,DD3_FDSW220008390-2r,0.353312267,0.08135393,0.147459386,0,0.417874418
269,CXD_0204_FDSW210423206-1r,DD3_FDSW220008390-2r,0.550913667,0,0.147459386,0,0.301626947
