	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	LYG1_FDME210455382-1r	LYG3_FDME210455384-1r	LYG5_FDME210455386-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	SY3_FDME210455399-2a	WZ7_FDME210455463-1r	WZ15_FDME210455471-1r	YC1_FDME220007405-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	C1_FDSW202534412-1r	E5_FDSW202534388-1r	E10_FDSW202534389-1r	E20_FDSW202534390-1r	E50_FDSW202534391-1r	E100_FDSW202534392-1r	E150_FDSW202534393-1r	N5_FDSW202534406-1r	N10_FDSW202534407-1r	N20_FDSW202534408-1r	N50_FDSW202534409-1r	N100_FDSW202534410-1r	N150_FDSW202534411-1r	S5_FDSW202534394-1r	S10_FDSW202534395-1r	S20_FDSW202534396-1r	S50_FDSW202534397-1r	S100_FDSW202534398-1r	S150_FDSW202534399-1r	W5_FDSW202534400-1r	W10_FDSW202534401-1r	W20_FDSW202534402-1r	W50_FDSW202534403-1r	W100_FDSW202534404-1r	W150_FDSW202534405-1r	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r	A1-20-normal	A3-20-normal	A5-20-normal	B1-20-normal	B3-20-normal	B5-20-normal	C1-20-normal	C3-20-normal	C5-20-normal	A1-40-normal	A3-40-normal	A5-40-normal	B1-40-normal	B3-40-normal	B5-40-normal	C1-40-normal	C3-40-normal	C5-40-normal	A1-60-normal	A3-60-normal	A5-60-normal	B1-60-normal	B3-60-normal	B5-60-normal	C1-60-normal	C3-60-normal	C5-60-normal	A1-80-normal	A3-80-normal	A5-80-normal	B1-80-normal	B3-80-normal	B5-80-normal	C1-80-normal	C3-80-normal	C5-80-normal	A1-100-normal	A3-100-normal	A5-100-normal	B1-100-normal	B3-100-normal	B5-100-normal	C1-100-normal	C3-100-normal	C5-100-normal
SD_QD_2020_06_15_bin_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.761233028	4.743333271	5.287264508	5.84519048	6.270419401	7.240939447	6.726455755	5.453628743	6.187174204	5.059173026	9.152848016	7.154206969	4.791080047	4.674875961	4.730336293	4.666830227	5.079866608	6.084382521	4.495591596	4.533906996	4.608130897	4.339064421	4.82819363	6.352456938	4.650479296	2.586912243	3.293911359	2.983017362	2.847698577	4.052032695	2.817461385	2.901453266	2.787374612	3.396667333	2.625976898	3.313519482	5.557171164	1.586146823	2.632289366	3.463628749	4.860415976	4.796971726	3.330948378	1.867346093	4.044899283	2.889686306	2.059746209	1.978164367	2.192326842	1.697780056	1.662913033	2.199918208	6.164416257	6.995307776	6.303154973	3.434920671	3.069187655	2.584763449	2.747540795	2.719745958	2.173810397	2.333461343	4.743171206	2.813790226	3.715007155	3.490561014	6.917861778	3.426514116	3.323577907	3.773628492	2.90048682	2.522463558	3.169343286	3.543188263	5.357487595	5.492597368	5.141875156	4.269299484	5.514165984	2.167225816	3.880773011	1.974032347	3.833165199	3.791695952	3.339568386	1.905545325	3.531727045	5.011728326	1.538175911	3.121599536	2.706295711	6.018004275	3.154818452	5.056509748	1.776789059	3.187163872	2.317527995	1.21132416	1.976464965	1.992820043	3.931901402	3.669401505	2.881310812	2.047700711	1.53257605	3.19595311
Cavenderia deminutiva	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.775851371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.775293556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.424106826	0	0	0	0	0	0	0	0	0	0	0	0	0	6.098880787	0	0	0	0	3.392714106	0	7.442032324	4.861313357	0	0	6.28834399	0	0	0	0	0	0	0	6.725959903	0	0	0	4.857673596	6.748075374	0	6.829636351	7.674507366	0
Aspergillus aculeatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.91381875	0	5.344177076	17.85580709	13.33671552	7.144710042	0	4.436663012	0	49.8402856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.58540338	0	0	0	0	0	0	0	0	0	0	0	25.46587216	0	0	0	0	0	0	0	0	7.723460284	0	0	0	0	0	0	0	0	9.487746346	0	0	0	0	0	0	0	0	0	0	0	0	0	4.789695713	0	4.147321641	0	0	0	0	0	0	0	0	0	0
Dothidotthia symphoricarpi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.986157756	0	0	0	4.625171498	4.695646311	6.669484079	0	0	0	7.616390189	5.657203797	0	6.907997842	7.65856614	0	0	0	0	4.449158577	8.490784007	8.126943614	5.898669797	0	0	0	0	5.691940837	0	9.332224658	0
Aspergillus calidoustus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.91739387	0	50.17482567	6.64896982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.34283488	0	0	0	0	29.13575046	0	9.812007914	9.187676167	5.446333925	0	0	5.838522096	6.143491896	4.841756268	8.389092669	0	0	0	0	0	0	0	0	0	0	0	0	6.782545808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.129443662	0	0	0	0	0
Navicula arenaria	0	0	0	0	0	0	0	0	29.91326596	10.5191922	24.69636559	6.748023317	6.930942676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.419574093	10.81155158	0	0	0	0	20.36249993	2.973742078	5.870950866	0	0	0	0	0	0	0	0	0	25.74270775	10.83360162	0	0	0	0	5.626121457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.276786944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus udagawae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.555695941	0	0	0	0	5.497293283	8.369801759	0	4.021647166	0	0	7.203249822	0	0	0	3.802783437	0	0	4.62263791	0	0	4.711338872	4.456419704	14.34659456	8.795526364	0	0	0	0	4.395287232	0	0	5.389767468	0	0	5.727704066	0	0	0	0	0	0	4.989523915	0	0	0	0	0	0	0
Pochonia chlamydosporia	0	0	6.36936006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.473762162	0	0	6.379105446	0	8.040368134	5.133052937	0	0	0	5.316003712	0	0	8.417435581	0	0	4.353581803	7.171945011	6.698730999	0	4.678468102	0	6.756538465	0	3.31382406	0	7.088255755	0	0	0	0	0	0	5.313157456
Entomoneis sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.919083335	3.768436041	0	7.594742779	4.036493876	5.755091817	0	0	0	6.368675919	5.584548766	6.155450235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.562022111	4.85497341	8.729530151	5.369666094	9.982077082	5.630503852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.693388057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydomonas schloesseri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.216507928	0	0	0	3.386048176	1.91673095	1.085486301	0	0	0	1.702789591	0	1.398319787	0	2.672964934	0	0	0	1.326760631	0	1.640796843	3.817357318	0.993261581	0	1.263223174	2.062396021	0	0	0	3.834011471	0	0	0	0	0	0	0	0	2.256506854	0	0	0	0	0
Astrephomene gubernaculifera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.863559021	0	0	0	0	0	0	0	0	9.713282027	0	6.929526841	8.945737355	7.917186478	4.607285187	0	0	4.126458262	0	0	4.439676332	4.552037475	8.114208791	8.381776045	0	0	0	5.230702402	0	5.60361126	7.345154581	5.466975101	0	0	0	0	0	0	0	0
Pedinophyceae sp. YPF-701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.52288707	8.89334609	0	0	3.516466576	0	0	5.483937094	0	0	0	0	34.96141553	0	0	0	0	0	0	0	0	3.742933281	4.580046	7.452034775	0	0	0	0	0	0	6.512346028	0	3.102176841	2.997847982	0	0	0	0	1.785258754	0	1.905043566	0	0	4.124692411	0	0	0	11.75559369	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apophysomyces ossiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85106175	3.041216997	2.084804993	0	0	2.649244446	1.922209041	2.087886262	2.977503028	0	0	4.097743515	3.341539825	1.894319513	1.870772489	0	0	2.788258183	2.354666223	0	0	2.821185126	0	0	0	0	0	0	0	0	1.986534735
Colletotrichum musicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.399832007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.635889441	7.104811228	0	0	0	6.639321905	8.378295497	0	0	4.503687663	9.38165776	0	0	0	0	8.389839035	5.84269396	7.104126827	5.203560568	6.408152408	0	0	0	0	0	0	5.920323535	4.927136877	0	5.864944764	5.571685991	0	0	0	0	0	0	0	0	0	0	0	0	0	0
