	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
SD_QD_2020_06_15_bin_28	0	1.695794959	0.884512454	0	0	1.537027539	2.129932519	1.260794609	1.420700059	1.627966736	3.032416019	3.089549054	2.511316353	2.162764027	1.615068139	4.50772772	3.169647098	1.721121633	0	0	0	0	0	0	0	0	0	1.203321228	3.13882641	4.535228214	0	0	3.110999576	2.645911981	2.548286798	1.602768906
SD_QD_2020_06_15_bin_5	1.074941377	3.262922347	0	1.475957311	0.856576662	1.3051686	1.972233766	2.180651765	1.031926912	1.114550505	1.5241862	2.767245169	2.594604269	2.09793628	1.24163095	3.229626493	2.754867364	1.492379229	1.908213804	1.523896287	1.868369606	1.175613046	1.712147245	1.922469141	0	0	0	1.593349082	2.698330018	3.63092502	0	0.849089479	3.283390659	2.707102397	3.178356998	2.483380375
SD_QD_2023_07_60_ultra_bin_3	0	2.452974798	0	2.069978869	1.557986444	1.858317571	2.52766592	3.147061883	2.233112763	2.452865717	3.648462962	3.444862929	2.284550255	2.793468769	1.923543085	3.3848348	4.359684731	3.894712349	3.169168137	4.646132534	4.969815516	3.337908032	3.818703615	3.467232259	0	0	1.820911931	3.304971229	3.050141744	2.899315522	0.958878267	2.212250516	1.579156946	2.257691749	1.979285943	2.264507466
SD_QD_2020_06_15_bin_10	1.362350573	2.258120515	0.914302642	1.272742049	1.924141225	1.881283448	4.113280128	2.550948628	1.867589007	2.770273956	3.398187141	3.052530767	5.621688147	3.376295039	1.161249746	3.989244308	3.659431269	3.270071931	3.841480507	3.322232291	3.208123008	2.515217637	2.62341335	3.111108718	0	1.233454768	0	2.458343223	3.90899862	5.40698792	2.189168723	2.23895694	2.365759178	2.222169387	2.104875035	1.556639634
ZJ_WZ_2021_05_15_bin_15	0	3.347836813	1.199397983	1.072030384	0	1.966388725	2.157271446	2.329877421	1.006387399	4.299062299	4.132253901	5.29917188	2.885335895	1.664361323	3.041303256	7.610753234	5.455593262	2.000111278	1.431070738	3.020212289	1.753502855	0	1.100775099	1.244320361	0	0	0	2.088659366	5.680255701	6.381443729	2.061221942	1.842002937	4.672215028	4.58262539	4.703426624	4.129547573
SD_QD_2020_06_15_bin_8	0	1.624858585	0	0	0	0	0	2.338046811	0	1.617659839	2.135879369	2.815607806	2.116121365	1.94635667	3.501621661	8.083722726	6.663737119	3.21036417	0	1.032239272	1.08404554	1.012552244	1.085918034	0	0	1.137749678	0	4.668649223	5.656964843	5.457254664	3.261933765	0.835413174	10.2955787	8.462221183	7.143663324	8.606946316
SD_QD_2023_07_60_ultra_bin_2	0	0	2.238058807	1.098980484	1.340433627	1.794871914	5.68845963	3.11091158	2.516959114	2.860527641	5.51838155	6.754377338	5.420220482	3.729129317	0	3.905883512	5.325285497	8.697796124	2.271849201	2.774981457	2.449155957	3.269071933	3.165269373	4.089053993	0	0	0	3.541974733	5.004150344	3.812895847	0	0	2.029023418	1.208472526	1.270310556	2.29465347
SD_QD_2023_07_80_normal_bin_3	0	0	2.407916598	1.24367535	1.903667508	2.607787129	5.962121045	2.697783217	2.952250686	5.050367261	6.841616171	8.04522907	5.431181575	3.651795279	1.107356509	4.290723201	5.752600642	8.381249185	1.704027122	2.859679833	1.798746273	1.493074294	1.897854572	3.140304174	0	0	0	3.903204935	5.963884778	5.077854918	0	1.123713197	1.872071465	0	0.926502896	1.347516249
SD_QD_2020_08_15_bin_2	0	8.739852995	63.51999769	16.41006617	4.63287755	6.342484627	0	2.892517216	10.12494667	1.567788718	7.091839342	1.978695849	1.416760817	0	0	0	0.980721508	0	7.194042977	0	0	0	0	0	0	0	0	0	2.66782745	0	0	0	0	0	0	0
SD_QD_2020_12_15_bin_7	0	0	2.505975012	1.683139124	2.246584071	1.83994208	8.154234764	5.705550779	4.480000145	6.1205186	10.26346653	8.731286755	6.690000354	4.551215004	1.954802772	5.407462434	7.895901408	15.36530742	3.400724537	2.662639283	4.132300731	3.36252742	3.389142103	5.285687166	0	0.976356875	0	5.763873234	8.049623638	5.84706602	0	1.487990063	2.768063052	1.480173078	1.791900238	3.312839762
SD_QD_2023_07_20_normal_bin_4	2.35670121	8.305323359	0	5.206939597	1.750214783	4.161668256	3.106954771	4.763214999	4.145944379	2.13522795	10.4701101	9.879009177	3.83032964	3.29236785	0.98388143	17.66818333	23.02329211	8.170402599	4.489099367	3.517931851	5.98767303	3.12887263	3.946132642	4.280939154	0	0	0	1.742201853	5.738914386	5.568221005	2.43622737	0	0	1.020358065	3.163468115	0
SD_QD_2020_10_15_bin_7	0	0	1.02550709	0	1.805091821	0	11.26832487	7.426901456	4.460514573	3.244647493	10.40405351	14.59018162	8.449748223	5.652840659	2.003755781	6.165994349	10.01518033	18.54640351	2.340609796	2.318287892	4.153763907	7.073246931	8.05274329	9.783883689	0	1.451734341	0	10.19313206	9.179847585	7.203331204	0	0	7.881614704	4.143521147	4.269912576	8.25216269
