distv_num,dist_loca_num,Tax
-0.105803139,1.451544993,Nucleocytoviricota
-0.17761267,1.731198999,Nucleocytoviricota
-0.164140748,2.00851667,Nucleocytoviricota
-0.103072964,2.303190683,Nucleocytoviricota
-0.04760989,1.397940009,Nucleocytoviricota
-0.087416547,1.477121255,Nucleocytoviricota
-0.098385145,1.602059991,Nucleocytoviricota
-0.161598169,1.84509804,Nucleocytoviricota
-0.129021566,2.079181246,Nucleocytoviricota
-0.304406424,2.342422681,Nucleocytoviricota
-0.142596794,1.698970004,Nucleocytoviricota
-0.198567583,2.176091259,Nucleocytoviricota
-0.276454885,1.701130691,Nucleocytoviricota
-0.293210478,1.707486674,Nucleocytoviricota
-0.357051561,1.731198999,Nucleocytoviricota
-0.081086228,1.849485002,Nucleocytoviricota
-0.025267631,2.048455007,Nucleocytoviricota
-0.080831983,2.314194465,Nucleocytoviricota
-0.206186555,1.701130691,Nucleocytoviricota
-0.294825837,1.707486674,Nucleocytoviricota
-0.190385278,1.731198999,Nucleocytoviricota
-0.351285069,1.849485002,Nucleocytoviricota
-0.326315732,2.048455007,Nucleocytoviricota
-0.269131731,2.314194465,Nucleocytoviricota
-0.259604535,1.740362689,Nucleocytoviricota
-0.284397809,1.77815125,Nucleocytoviricota
-0.28920261,1.84509804,Nucleocytoviricota
-0.32463647,2,Nucleocytoviricota
-0.317197249,2.176091259,Nucleocytoviricota
-0.489103011,2.397940009,Nucleocytoviricota
-0.097317102,2,Nucleocytoviricota
-0.170597344,2.000542191,Nucleocytoviricota
-0.203959443,2.002160687,Nucleocytoviricota
-0.207246872,2.00851667,Nucleocytoviricota
-0.075526116,2.048455007,Nucleocytoviricota
-0.135047652,2.150514998,Nucleocytoviricota
-0.119271081,2.349485002,Nucleocytoviricota
-0.115253759,2.000542191,Nucleocytoviricota
-0.159294079,2.002160687,Nucleocytoviricota
-0.107378443,2.00851667,Nucleocytoviricota
-0.209030712,2.048455007,Nucleocytoviricota
-0.204413659,2.150514998,Nucleocytoviricota
-0.155787534,2.349485002,Nucleocytoviricota
-0.152342665,2.021189299,Nucleocytoviricota
-0.155925883,2.041392685,Nucleocytoviricota
-0.158351852,2.079181246,Nucleocytoviricota
-0.187590473,2.176091259,Nucleocytoviricota
-0.215635579,2.301029996,Nucleocytoviricota
-0.415423217,2.477121255,Nucleocytoviricota
-0.131386166,2.30116567,Nucleocytoviricota
-0.150840702,2.301572186,Nucleocytoviricota
-0.19576771,2.303190683,Nucleocytoviricota
-0.158844249,2.314194465,Nucleocytoviricota
-0.187927009,2.349485002,Nucleocytoviricota
-0.135533119,2.451544993,Nucleocytoviricota
-0.077004596,2.30116567,Nucleocytoviricota
-0.126417737,2.301572186,Nucleocytoviricota
-0.09203847,2.303190683,Nucleocytoviricota
-0.209842664,2.314194465,Nucleocytoviricota
-0.200104281,2.349485002,Nucleocytoviricota
-0.143188529,2.451544993,Nucleocytoviricota
-0.095788375,2.311753861,Nucleocytoviricota
-0.127900164,2.322219295,Nucleocytoviricota
-0.144600943,2.342422681,Nucleocytoviricota
-0.184604309,2.397940009,Nucleocytoviricota
-0.184957175,2.477121255,Nucleocytoviricota
-0.369771052,2.602059991,Nucleocytoviricota
-0.07894124,0.698970004,Nucleocytoviricota
-0.109134768,1.176091259,Nucleocytoviricota
-0.248917441,1.653212514,Nucleocytoviricota
-0.275910927,1.977723605,Nucleocytoviricota
-0.225427003,2.290034611,Nucleocytoviricota
-0.102093444,1,Nucleocytoviricota
-0.074901513,1.176091259,Nucleocytoviricota
-0.123033153,1.397940009,Nucleocytoviricota
-0.134272526,1.740362689,Nucleocytoviricota
-0.120164876,2.021189299,Nucleocytoviricota
-0.082545464,2.311753861,Nucleocytoviricota
-0.063983991,0.849485002,Nucleocytoviricota
-0.07507779,1.048455007,Nucleocytoviricota
-0.085412439,1.314194465,Nucleocytoviricota
-0.119392868,1.701130691,Nucleocytoviricota
-0.08260234,2.000542191,Nucleocytoviricota
-0.20216772,2.30116567,Nucleocytoviricota
-0.182173384,1,Nucleocytoviricota
-0.268574949,1.602059991,Nucleocytoviricota
-0.277634506,1.954242509,Nucleocytoviricota
-0.24176799,2.278753601,Nucleocytoviricota
-0.130314688,1.176091259,Nucleocytoviricota
-0.14085052,1.301029996,Nucleocytoviricota
-0.166815517,1.477121255,Nucleocytoviricota
-0.209865414,1.77815125,Nucleocytoviricota
-0.18888583,2.041392685,Nucleocytoviricota
-0.148929422,2.322219295,Nucleocytoviricota
-0.095775607,1.048455007,Nucleocytoviricota
-0.133647983,1.150514998,Nucleocytoviricota
-0.149229502,1.349485002,Nucleocytoviricota
-0.196141717,1.707486674,Nucleocytoviricota
-0.108462567,2.002160687,Nucleocytoviricota
-0.263086275,2.301572186,Nucleocytoviricota
-0.284309482,1.477121255,Nucleocytoviricota
